Nome,Resumo,Modelos
MTV-130-2023 - RC - Modelo - LGD Carteira Privado - 2017 - Média (MOD000128).pdf,"O documento é um relatório de validação de um modelo chamado ""Modelo - LGD Carteira Privado - 2017 - Média (MOD000128)"", utilizado pelo Banco BV para estimar o percentual de perda de carteiras de crédito consignado privado. O relatório aborda os seguintes tópicos:

**1. Resumo Executivo:** Apresenta uma visão geral do modelo, destacando sua finalidade e os resultados da validação.

**2. Objetivo:** Define o objetivo da validação, que é revalidar o modelo conforme a metodologia padrão.

**3. Resultados:** Apresenta os resultados da validação, indicando que o modelo atende aos seus objetivos com oportunidades de melhoria.

**4. Anotações de Risco:** Informa que não há anotações de risco.

**5. Oportunidades de melhoria:** Detalha as oportunidades de melhoria identificadas no modelo, relacionadas à documentação, cálculo do LGD e uso de variáveis explicativas.

**6. Anexos:** Lista os anexos do relatório.

**6.1 Documentação:** Avalia a completude e clareza da documentação do modelo.

**6.2 Governança:** Avalia o processo de aprovação e cadastro do modelo.

**6.3 Monitoramento:** Avalia a classificação, suficiência e os triggers do monitoramento do modelo.

**Temas abordados:**

* Validação de modelos
* Risco de crédito
* Carteiras de crédito consignado
* Perda esperada (LGD)
* Monitoramento de modelos
* Governança de modelos
* Documentação de modelos 
",MOD000128
MTV-129-2023 - RC - Modelo - LGD Carteira Pesados - 2017 - Média (MO000127).pdf,"O documento é um relatório de validação de um modelo chamado ""RC - Modelo - LGD Carteira Pesados - 2017 - Média (MOD000127)"", utilizado para estimar o percentual de perda em carteiras de crédito de veículos pesados. O relatório aborda os seguintes tópicos:

**1. Resumo Executivo:**

* Descrição do modelo e sua utilização.
* Resultados da revalidação, incluindo a identificação de uma fragilidade na performance do modelo para prazos curtos.
* Menção a oportunidades de melhoria, como a revisão da documentação e a utilização de variáveis explicativas.
* Classificação do modelo como ""C"" devido a fragilidades nos controles.

**2. Objetivo:**

* Definir o objetivo do trabalho como a revalidação do modelo em questão.

**3. Resultados:**

* Apresentação da nota final ""C"" para o modelo.
* Descrição das principais situações identificadas, incluindo a fragilidade na performance (anotação #R1).

**4. Anotações de Risco:**

* Detalhes da anotação de risco #R1, relacionada à performance do modelo.

**5. Oportunidades de melhoria:**

* Descrição das oportunidades de melhoria identificadas, incluindo a revisão da documentação (#M1), a revisão do cálculo do LGD (#M2), a utilização de variáveis explicativas (#M3) e o uso da taxa efetiva do contrato para desconto dos recebíveis (#M4).

**6. Anexos:**

* Descrição dos anexos do relatório.

**6.1 Documentação:**

* Avaliação da documentação do modelo, com a atribuição da nota ""B"" devido à oportunidade de melhoria #M1.

**6.2 Governança:**

* Avaliação da governança do modelo, incluindo a aprovação e o cadastro, com a atribuição da nota ""A"".

**6.3 Monitoramento:**

* Avaliação do monitoramento do modelo, incluindo a classificação, a análise de suficiência, a operacionalização, o monitoramento global e os triggers, com a atribuição da nota ""C"" devido à anotação de risco #R1. 
","O único ID de modelo presente no documento é **MOD000127**. 
"
MTV-93-2023 - Emprego e Governança - Modelo LGD Leves.pdf,"##  Resumo dos Tópicos Abordados no Memorando Técnico de Validação de Modelo (MTV-93-2023):

**Título do Documento:**  MEMORANDO TÉCNICO DE VALIDAÇÃO DE MODELO (MTV-93-2023)

**Assunto:** Validação Contínua LGD Leves 2022 (MOD000929)

**Objetivo Principal:** Avaliar o teste de implementação e a aprovação para uso do modelo LGD Leves 2022, complementando o relatório VM-27-2023.

**Contexto:**

* O modelo LGD Leves 2022 passou por validação inicial (VM-27-2023) antes da implementação em sistema.
* Este memorando foca na **avaliação da implementação (Emprego do Modelo) e Governança** após a implementação, complementando o relatório inicial.

**Resultados:**

* **Inconsistências na Implementação:** Os valores de LGD implementados no sistema não correspondem aos valores documentados, apesar da segmentação estar correta.
* **Deficiências na Governança:** Foi identificada a ausência de controles e mecanismos de verificação que garantam a correta implementação do modelo em sistema.

**Apontamentos:**

* **Risco Médio #R1:** Ausência de controles homologatórios na implantação do modelo.

**Conclusões:**

* **Implementação Incorreta:**  Confirma-se a implementação incorreta do modelo.
* **Baixo Nível de Controle:**  Evidencia-se um baixo nível de controle no processo de implementação e gestão de modelos.

**Próximos Passos:**

* **Correção da Implementação:**  Ajustar os valores de LGD no sistema para corresponderem à documentação.
* **Implementação de Controles:** Estabelecer mecanismos de verificação para garantir a correta implementação de modelos.

**Classificação do Modelo:**

* **Nota do Modelo:** C (revisada de B para C devido aos problemas de implementação).
* **Aprovação para Uso:**  O modelo foi aprovado para uso pelo superintendente da área responsável, mas precisa ser corrigido e reavaliado. 
",* MOD000929
MTV-132-2023 -RC - Modelo - Credit Scoring CPG 001 (MOD000466).pdf,"##  Relatório de Validação de Modelo -  Credit Scoring CPG 001 (MOD000466)

**Tópicos e Temas Abordados:**

**1. Informações Gerais:**

* Tipo de modelo: Credit Scoring CPG 001 (MOD000466)
* Tipo de validação: Revalidação (Tier III)
* Data do relatório: 29/12/2023

**2. Objetivo:**

* Revalidar o modelo  Credit Scoring CPG 001 (MOD000466) conforme metodologia padrão.
* Dimensões avaliadas: Governança, Documentação e Monitoramento.

**3. Resultados:**

*  Conclusão geral: O modelo e seu entorno atendem aos seus objetivos com falhas mínimas.
* Nota final: C (Baixo)

**4. Anotações de Risco:**

* **#R1**: Performance do modelo insuficiente (farol vermelho no monitoramento).
    * Descrição detalhada da situação: Mudança significativa no perfil populacional impactando a performance (KS1 e KS2), mas não representando um risco significativo.
    * Acompanhamento da situação em fóruns futuros.

**5. Oportunidades de Melhoria:**

* **#M1**: Utilização de indicador que desconsidere o efeito de mudanças populacionais decorrentes de políticas de crédito (ex: KS Ajustado).

**6. Anexos (Detalhes da Avaliação):**

* **6.1 Documentação (Nota A):**
    * Completude e clareza da documentação.
    * Descrição do modelo e etapas de desenvolvimento.
    * Especificações finais do modelo e técnicas empregadas.
    * Bases e códigos utilizados no desenvolvimento.
    * Aplicações, público alvo, premissas e limitações.
* **6.2 Governança (Nota A):**
    * Aprovação: 
        * Nível de aprovação adequado (Superintendente da área e anuência da Área de Gestão de Risco de Modelos).
    * Cadastro: 
        * Cadastro no inventário realizado de forma adequada.
* **6.3 Monitoramento (Nota C):**
    * Classificação do modelo:
        * Grau de Exigibilidade de Monitoramento (GEM): N1 (Alta) - Modelo baseado em dados suscetível à degradação.
    * Análise de Suficiência:
        * Monitoramento global: Boa cobertura dos aspectos de performance do modelo (acurácia da PD e discriminação dos scores).
        * Operacionalização - Periodicidade de Execução: Controle estruturado, atualização semestral (adequada), alto grau de automatização e ferramenta adequada (Power BI).
        * Triggers:
            * Formalização: Documentação dos triggers e informações do monitoramento.
            * Adequação dos patamares dos triggers: Combinação de indicadores para definição do alerta (farol vermelho), com criticidade adequada.
            * Status atual: Farol vermelho devido à performance, porém justificado pela mudança no perfil populacional. Acompanhamento nos próximos fóruns. 


**Considerações:**

O relatório apresenta uma análise completa do modelo Credit Scoring CPG 001, destacando seus pontos fortes (documentação, governança),  pontos de atenção (performance) e oportunidades de melhoria (indicador para mudanças populacionais). 
",MOD000466.
MTV-97-2023 - Modelo de Collection Amigavel - 31 a 75 [uso dados externos bureau](MOD000934).pdf,"O documento é um relatório de validação de um modelo chamado ""COBR_PROPENSAO_CARTAO_AMIGAVEL_31_75_COLLECTION_BUREAU_v3"". O relatório está estruturado da seguinte forma:

**Página 1:**
* Título do relatório: Relatório de Validação de Modelo
* Número de identificação do modelo: MTV-97-2023
* Nome completo do modelo: COBR_PROPENSAO_CARTAO_AMIGAVEL_31_75_COLLECTION_BUREAU_v3
* Data de emissão do relatório: 27/10/2023
* Lista de destinatários do relatório, incluindo cargos e nomes.

**Página 2:**
* Resumo executivo:
    * Descrição breve do objetivo do modelo: Identificar clientes propensos a efetuar o pagamento mínimo da fatura do cartão de crédito entre 31 e 75 dias, utilizando variáveis externas.
    * Metodologia utilizada: Metodologia padrão de validação de modelos.
    * Principais constatações: 
        * Informação incompleta sobre as variáveis do modelo.
        * Ausência de códigos e detalhes no desenvolvimento.
        * Pendências resolvidas durante o processo de validação.
        * Monitoramento, indicadores, cadastro e aprovação considerados adequados.
    * Conclusão: Modelo considerado adequado do ponto de vista formal, recebendo nota A.
* Nomes e cargos dos responsáveis pela validação do modelo.

**Página 3:**
* Objetivo da validação: Validar o modelo conforme a metodologia descrita na IN_706, nas dimensões de Governança, Documentação e Monitoramento.
* Resultados da validação: Modelo e entorno considerados adequados em todos os aspectos avaliados.
* Tabela com as notas da avaliação do modelo por dimensão:
    * ID: MOD000934
    * Nome do modelo
    * Tier: III
    * Governança: A
    * Documentação: A
    * Dados: N/A
    * Metodologia: N/A
    * Emprego: N/A
    * Monitoramento: A
    * Nota final: A
    * Anotações: -
    * Risco: Baixo
* Menção à descrição das situações identificadas no modelo nos itens seguintes do relatório.
* Anotações de Risco: Inexistentes.
* Oportunidades de melhoria: Inexistentes.

**Página 4:**
* Anexos: Descrição da metodologia de validação, incluindo o checklist utilizado e a plataforma (Portal GM).
* Documentação:
    * Descrição da documentação avaliada, incluindo informações sobre o modelo, etapas de desenvolvimento e link para acesso no Confluence.
    * Detalhes sobre a análise da documentação, com foco em três pontos principais:
        * Especificações finais do modelo para uso.
        * Técnica empregada no desenvolvimento do modelo (Random Forest).
        * Códigos de desenvolvimento e arquivo objeto modelo (MOJO).

**Página 5:**
* Continuação da seção sobre a Documentação:
    * Descrição das informações sobre o desenvolvimento do modelo, incluindo as variáveis utilizadas, etapas, código do modelo e arquivo objeto modelo (MOJO).
    * Metodologia utilizada no desenvolvimento do modelo, com detalhes sobre cada etapa.

**Página 6:**
* Informações sobre a implantação do modelo e aplicações previstas.
* Motivação para o desenvolvimento do modelo: Avaliar a influência de variáveis externas na performance do modelo anterior (MOD000775).
* Objetivos do modelo: Identificar clientes propensos a efetuar o pagamento mínimo entre 31 e 75 dias.
* Uso destinado ao modelo: Área de cobrança.
* Governança:
    * Descrição do processo de aprovação do modelo, de acordo com a IN_1253, considerando o Tier III do modelo.
    * Confirmação de que o modelo possui aprovação cadastrada no inventário na instância correta (Superintendente).

**Página 7:**
* Continuação da seção sobre Governança:
    * Evidência da aprovação do modelo através de um email.
    * Cadastro do modelo:
        * Confirmação de que o modelo possui cadastro no GRC.
        * Print screen da aba ""General"" do cadastro no GRC.
* Nota atribuída à dimensão de Governança: A.

**Página 8:**
* Monitoramento:
    * Descrição do conceito de GEM (Grau de Exigibilidade de Monitoramento) e seus três níveis de classificação (N1, N2 e N3).
    * Definição de monitorabilidade e essencialidade do monitoramento, conforme a IN_706.
    * Classificação do modelo como GEM N1, justificando a classificação.
    * Descrição da análise de suficiência do monitoramento.

**Página 9:**
* Continuação da seção sobre Monitoramento:
    * Apresentação do monitoramento do modelo através de um print screen da ferramenta utilizada (Power BI).
    * Descrição da operacionalização do monitoramento, incluindo a periodicidade de execução.
    * Análise da periodicidade de atualização do monitoramento, utilizando como critério a IN_1253 para modelos Tier III (atualização semestral).
    * Conclusões sobre o controle do monitoramento, considerando a ferramenta utilizada, a automatização e a periodicidade.
    * Descrição do monitoramento global, com ênfase na abrangência dos indicadores e sua adequação para modelos de resposta binária.
    * Descrição dos triggers utilizados no monitoramento, incluindo a formalização e a adequação dos parâmetros.

**Página 10:**
* Conclusão da seção sobre Monitoramento:
    * Apresentação do farol do modelo, indicando que o monitoramento está verde para os últimos três meses.
    * Parecer final sobre a dimensão de monitoramento: considerado adequado, com estrutura automatizada, recebendo nota A.

Em resumo, o documento apresenta uma análise completa do modelo ""COBR_PROPENSAO_CARTAO_AMIGAVEL_31_75_COLLECTION_BUREAU_v3"", validando sua estrutura, desenvolvimento, documentação, governança e monitoramento. O relatório conclui que o modelo está adequado para uso, tendo cumprido todos os requisitos e boas práticas.","MOD00934, MOD000775, MOD000665. 
"
VM-02-2023 - PE Safra Solar V3 - v2.pdf,"O documento se trata de um relatório de validação de um modelo de **perda esperada de crédito para financiamentos de energia solar (PE Safra Solar V3)**, desenvolvido pelo banco BV. O relatório aponta que o modelo **atende parcialmente aos seus objetivos**, com falhas que demandam ação.

**Principais tópicos abordados:**

* **Problemas identificados no modelo:**
    * Ineficácia e incompletude do monitoramento do modelo.
    * Deficiências metodológicas no cálculo da PDLT (Probabilidade de Default Lifetime) e, consequentemente, do EAD (Exposure at Default).
    * Dados não adequados por não estarem maturados, terem baixo volume e estarem em regime transiente, prejudicando a representatividade.
* **Sugestões de melhorias:**
    * Modelagem do EAD em função da PD12 e da Taxa.
    * Uso de prazo de 72 meses para estimativa da regressão PDLT para prazo de 84 meses.
    * Falta de conservadorismo na definição do LGD (Loss Given Default) em relação a veículos leves.
    * Definição da equação que será utilizada para o prazo de 96 meses.
    * Não utilização da projeção da PDLT 12 e 24, já que se tem um bom volume de safra completamente maturadas.
    * Complementação da documentação com texto discursivo.
* **Anexos:**
    * Processo de aplicação do modelo.
    * Descritivo do modelo.
    * Volumetria de Solar e de veículos leves.

**Conclusões do relatório:**

* O modelo apresenta falhas que precisam ser corrigidas para garantir sua eficácia.
* A base de dados utilizada para modelagem é limitada, o que aumenta a incerteza das estimativas.
* Há oportunidades de melhoria na modelagem do EAD e LGD.

**Recomendações do relatório:**

* Corrigir as falhas metodológicas apontadas.
* Buscar alternativas para aumentar a base de dados utilizada na modelagem.
* Implementar um monitoramento mais robusto e completo.
* Documentar o modelo de forma mais detalhada. 
","MOD000960, MOD000448. 
"
MTV-68-2023 - Collection Solar para atrasos  longos (MOD000923).pdf,"O documento é um relatório de validação de um modelo de *machine learning* chamado ""Collection Solar para atrasos longos"" (MOD000923). O relatório aborda os seguintes tópicos:

**1. Informações Gerais:**

* Nome do modelo: Collection Solar para atrasos longos
* ID do modelo: MOD000923
* Objetivo: Identificar clientes com atrasos entre 90 e 360 dias e prever a probabilidade de pagamento em até 60 dias.
* Data do relatório: 17/07/2023

**2. Processo de Validação:**

* Metodologia: Baseada na IN_706.
* Dimensões avaliadas: Governança, Documentação e Monitoramento.
* Ferramentas utilizadas: Checklist, Portal GM, Confluence, PEGA, Power BI.

**3. Resultados da Validação:**

* **Governança:**
    * Aprovação: Aprovado na ferramenta PEGA na instância correta (Superintendente).
    * Cadastro: Cadastrado corretamente no GRC.
    * Classificação: Tier III.
* **Documentação:**
    * Descrição completa do modelo, etapas de desenvolvimento, metodologia, código-fonte e arquivo objeto (MOJO).
    * Informações claras sobre as premissas,  aplicações e  implantação do modelo.
* **Monitoramento:**
    * Classificação GEM: N1 (alta exigibilidade).
    * Monitoramento global: Amplo conjunto de indicadores de acurácia e discriminação (KS2, ACC, AUROC, F1, GINI, PRECISION, RECALL).
    * Operacionalização:  Atualização mensal, processo automatizado em ferramenta adequada (Power BI).
    * Triggers: Formalizados, baseados no desvio padrão da média histórica, limites de 2 e 3 desvios.
    * Performance:  Adequada, com farol verde nas últimas três safras monitoradas.

**4. Conclusão:**

* O modelo e seu entorno atendem plenamente aos objetivos em todos os aspectos avaliados.
* Não foram identificados riscos ou oportunidades de melhoria.
* Nota final: A (adequado). 
","* MOD000923 
* MOD000917
* MOD000920 
"
MTV-131-2023 - RC - Modelo - Behavior Motos - 2016 - Calibragem PD (MOD000058).pdf,"O documento é um relatório de validação de modelo, referente a um modelo de risco de crédito chamado ""RC - Modelo - Behavior Motos - 2016 - Calibragem PD"". O relatório apresenta os seguintes tópicos:

**1. Resumo Executivo:**

* Objeto da validação: Revalidação do modelo, com foco nas dimensões de Governança, Documentação e Monitoramento.
* Resultados: Modelo considerado adequado com ressalvas, apresentando fragilidades no controle e risco baixo. 
* Principais constatações: 
    * Dimensões de Governança e Documentação sem novas oportunidades de melhoria.
    * Dimensão de Monitoramento apresenta oportunidade de melhoria na unificação do monitoramento das populações e anotação de risco relacionada ao status de uma das populações.

**2. Objetivo:**

* Revalidar o modelo conforme metodologia padrão e avaliar as dimensões de Governança, Documentação e Monitoramento.

**3. Resultados:**

* Avaliação geral: O modelo atende aos objetivos com ressalvas pontuais.
* Detalhamento da avaliação por dimensão:
    * Governança: Nota A
    * Documentação: Nota A
    * Metodologia: Nota B
    * Emprego: Nota B
    * Monitoramento: Nota C
* Listagem das principais situações identificadas no modelo, que serão detalhadas nas seções seguintes.

**4. Anotações de Risco:**

* Descrição da anotação de risco #R1: Status vermelho no monitoramento de uma das populações do modelo, indicando baixa performance. 
* Detalhes sobre a causa da anotação, a equipe responsável e as observações sobre a situação.

**5. Oportunidades de melhoria:**

* Listagem das oportunidades de melhoria #M1 a #M4, identificadas em validação anterior (MTV-45-2020).
* Descrição da oportunidade de melhoria #M5, referente à criação de um monitoramento global do modelo.

**6. Anexos:**

* Detalhamento da avaliação das dimensões do modelo, com foco na Governança e Monitoramento.

**6.1 Governança:**

* Análise do processo de aprovação do modelo, considerando a governança vigente.
* Verificação da existência de aprovação formal para uso do modelo, mesmo antes da IN_1253.
* Conclusão: Modelo possui aprovação para uso.

**6.2 Cadastro:**

* Verificação do cadastro do modelo no inventário.
* Conclusão: Cadastro realizado de forma adequada.

**6.3 Monitoramento:**

* Definição e explicação do conceito de Grau de Exigibilidade de Monitoramento (GEM).
* Classificação do modelo como GEM N1, devido à sua suscetibilidade à degradação e à possibilidade de monitoramento de performance.

**6.3.1 Classificação do modelo:**

* Detalhamento dos critérios de classificação do GEM, considerando a monitorabilidade e a essencialidade.
* Justificativa da classificação do modelo como GEM N1.

**6.3.2 Análise de suficiência:**

* Descrição dos indicadores de monitoramento utilizados, incluindo:
    * Estabilidade Populacional (KS1 e PSI).
    * Discriminação (KS1 da bad rate, KS2 e Delta KS).
* Análise da frequência de atualização, acurácia e completude das informações.
* Identificação da necessidade de unificar os monitoramentos das duas populações do modelo.
* Conclusão: Monitoramento apresenta falhas mínimas, com a necessidade de melhoria na unificação da visão.

**7. Conclusões:**

* Aponta que o modelo e seu entorno atendem aos objetivos com falhas mínimas.
* Recomenda a criação de um indicador de performance global e o acompanhamento da descalibragem em fóruns futuros.
* Classifica o risco do modelo como baixo, devido à especificidade da descalibragem.
* Atribui nota C para a dimensão de Monitoramento, devido às falhas mínimas encontradas. 
","* MOD000058 
"
MTV-108 -2023  - Validação continua Ajuizamento Leves_v4.pdf,"O documento é um Memorando Técnico de Validação de Modelo (MTV) sobre a **Validação Contínua** do **Modelo Ajuizamento Leves_v4**. 

**Principais Tópicos:**

1. **Resumo:**
    * Contexto da validação: Abertura do trabalho em 2023, inicialmente com documentação insuficiente.
    * Evolução da documentação: Melhora significativa após complementação, mas ainda com pontos a serem melhorados.
    * Próximos passos: Trabalho técnico de validação (por se tratar de modelo Tier II) e manutenção do modelo sem nota até a conclusão da validação.

2. **Objetivos:**
    * Validação contínua do modelo, conforme metodologia da IN_706.
    * Relação entre modelo, apontamentos e planos de ação.

3. **Resultados:**
    * Tabela com ID do modelo, Tier, escopo da validação, notas, anotações finais e risco.
    * Detalhe do Plano de Ação (TSK 082669): 
        * Descrição do problema: documentação insuficiente.
        * Descrição da solução: aprimorar a documentação.
        * Implementação: documentação atualizada.
        * Localização do arquivo atualizado.

4. **Evidências do cumprimento do plano de ação:**
    * Prints da documentação atualizada, incluindo:
        * Tabelas de origem.
        * Detalhamento do código de desenvolvimento e tratamento dos dados.
        * Apresentação das regressões (coeficientes e MOJO - quando aplicável).
        * Apresentação do objeto modelo para Random Forest e hiperparâmetros.

5. **Conclusão:**
    * Documento atualizado atende aos requisitos, com nível de informação e detalhamento adequados.
    * Plano de ação considerado implementado.
    * Anotação de risco pode ser baixada. 
","O documento aborda apenas um modelo, cujo ID é:

* MOD000654 
"
VM-13-2023 - Teste de Estresse PME e ConcVar.pdf,"##  Relatório de Validação Independente de Modelos (VM-13-2023) -  Teste de Estresse

**Objetivo:** Validação dos modelos de Teste de Estresse para Despesa de PDD de PME e Concessão Varejo.

**Escopo:** 
* **Modelo de Teste de Estresse Concessão Varejo (MOD000863):**  Estima a concessão de crédito no varejo para os próximos 3 anos, considerando variáveis internas e macroeconômicas.
* **Modelo de Teste de Estresse de Over90 PME (MOD000999):** Estima a despesa de PDD para PME nos próximos 3 anos, utilizando uma proxy (Over90 BACEN) e transformação para PDD.

**Metodologia:** Análise quantitativa com base em modelos estatísticos e variáveis internas e macroeconômicas.

**Principais Resultados:**
* **Avaliação Geral:** Melhoria na metodologia em relação a modelos anteriores.
* **Governança:**  Necessidade de adequação em relação à IN_1253 (Gestão de Risco de Modelos).
* **Dados:** 
    * **Concessão Varejo:**  Possíveis equívocos nos cálculos devido à agregação de dados de diferentes momentos, causando distorções.
    * **PDD PME:**  Utilização de proxy (Over90 BACEN) por falta de dados suficientes, o que pode gerar um erro maior em comparação à modelagem direta da PDD.
* **Classificação dos Modelos:** Grau de Exigibilidade de Monitoramento (GEM) N2 (Média).
* **Monitoramento:** Os modelos ainda não possuem monitoramento, mas a área possui conhecimento para tal.

**Recomendações:**
*  Definir planos de ação para mitigar os riscos apontados, especialmente em relação à governança e à qualidade dos dados.
* Implementar o monitoramento dos modelos.

**Classificação Final:**
* **Concessão Varejo (MOD000863):** Nota C (Médio)
* **PDD PME (MOD000999):** Nota B (Baixo) 
","* MOD000863
* MOD000999 
"
